         -2253716274 function calls (-2254551207 primitive calls) in 1622.602 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  3050585  859.086    0.000 1227.913    0.000 utils.py:543(lcv_selection)
-1160901425  235.296   -0.000  235.296   -0.000 utils.py:53(get_path)
  6333481  204.173    0.000  207.307    0.000 utils.py:205(remove_path)
 19022466  142.543    0.000  146.186    0.000 utils.py:556(check_intersection)
-1192290840  138.781   -0.000  138.781   -0.000 {built-in method builtins.len}
 831126/9   15.609    0.000   17.594    1.955 part1.py:136(generate_paths)
  3050585    6.695    0.000  125.696    0.000 utils.py:517(consistency_check_partial)
   3767/1    5.960    0.002 1604.986 1604.986 part1.py:205(smart_BT)
     3766    4.079    0.001  181.753    0.048 utils.py:575(forward_checking)
 12647857    2.661    0.000    2.661    0.000 {method 'pop' of 'list' objects}
  6314376    2.055    0.000    2.992    0.000 utils.py:251(remove_from_discarded_most_recent)
 13721831    1.336    0.000    1.336    0.000 utils.py:226(get_solution)
 13505336    1.000    0.000    1.000    0.000 {method 'append' of 'list' objects}
  6117445    0.659    0.000    0.659    0.000 utils.py:214(get_paths)
   831126    0.579    0.000    0.939    0.000 utils.py:65(copy)
     3757    0.574    0.000    2.147    0.001 utils.py:599(revert_pruning)
  6573269    0.562    0.000    0.562    0.000 utils.py:171(get_letter)
  3286653    0.286    0.000    0.286    0.000 {method 'keys' of 'dict' objects}
   831126    0.198    0.000    0.295    0.000 utils.py:21(add_coord)
   831153    0.139    0.000    0.139    0.000 utils.py:9(__init__)
   831162    0.122    0.000    0.122    0.000 {method 'copy' of 'list' objects}
   831126    0.099    0.000    0.099    0.000 utils.py:59(set_path)
   831117    0.062    0.000    0.062    0.000 {method 'extend' of 'list' objects}
        1    0.013    0.013 1622.602 1622.602 part1.py:1(<module>)
     3757    0.011    0.000    0.011    0.000 {method 'remove' of 'list' objects}
     3766    0.005    0.000    0.007    0.000 utils.py:616(check_empty)
     3757    0.004    0.000    0.007    0.000 {built-in method _heapq.heappush}
     3766    0.003    0.000    0.003    0.000 {built-in method _heapq.heappop}
     3784    0.002    0.000    0.002    0.000 utils.py:220(set_solution)
     1661    0.002    0.000    0.003    0.000 utils.py:116(__lt__)
        1    0.002    0.002    0.003    0.003 utils.py:440(write_to_file)
        1    0.001    0.001    0.001    0.001 {built-in method _imp.create_dynamic}
       31    0.001    0.000    0.001    0.000 {built-in method nt.stat}
        2    0.001    0.000    0.001    0.000 {built-in method io.open}
        5    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:830(get_data)
       20    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1233(find_spec)
        1    0.000    0.000    0.000    0.000 utils.py:408(parse_file)
        5    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
        5    0.000    0.000    0.000    0.000 {method 'read' of '_io.FileIO' objects}
